counterpart_id,name,inn,org_type
42,Далурин Фесей Олеович ИП,1285224975215,ИП
43,КАРГО СОЛЮШНС L11 ООО,90545636840,ООО
44,Зорарский Конрон Конович ИП ГКФХ,4538556588157,ИП ГКФХ
47,ГРЕЙН СИНТЕЗ H44 ООО,62502359107,ООО
48,БАЛТИК КОНТРОЛЬ P97 НАО,74897472845,НАО
49,IT ПЛАТФОРМА O30 ООО,55932546878,ООО
50,Зорурев Нирил Иваич ИП,4999241745513,ИП
51,Сарийова Жаняна Михевна ИП,2080032245495,ИП
52,Велунов Конлан Влаич ИП,4211444730315,ИП
53,ТЕХ-ГРУПП Q87 ООО,57893967272,ООО
54,Аксакин Гемир Артович ИП,7572915636797,ИП
56,ВОЯЖ ЦЕНТР X60 ООО,24779521402,ООО
57,Горарин Тивер Викевич ИП,1892386607884,ИП
58,Борирская Марлина Артевна ИП,93860373188,ИП
59,АЛЬЯНС Z83 СТРАХОВАЯ КОМПАНИЯ НАО,87492810980,АО
60,СИСТЕМ-СОЛЮШНС U16 ПАО,89039692511,ПАО
61,Мирисин Мактор Михович ИП,1691731200292,ИП
62,ЗЕРНО-ПРИЕМ H83 ООО,52971436802,ООО
63,ЮГ ПОСТАВКА G24 НАО,36688423896,НАО
64,ИНСПЕКТ АЛЬЯНС X29 ООО,68377334976,ООО
65,СЛУЖБА C58 ГОС,19106278610,гос
67,ГРЕЙН АЛЬЯНС B11 ООО,44892791964,ООО
68,ФРАХТ НАВИГАЦИЯ Q75 ООО,35125895427,ООО
69,Касасов Илдор Егоович ИП,5658290013002,ИП
70,БРИЗ ОТЕЛЬ W86 ООО,31622435627,ООО
71,НОРД ЛОГИСТИК U92 ООО,80434017017,ООО
72,ЗЕРНО ИМПОРТ H44 ООО,25268064361,ООО
73,СОФТ-ГРУПП Q68 ООО,79798131591,ООО
74,Эрийева Людсия Аневна ИП,8632124056581,ИП
75,J26 ООО,21392860703,ООО
76,ПОЛЯ АГРО J32 АО,43545648026,АО
77,Ромонский Нитон Никевич ИП,9672152880972,ИП
78,КАР СОЛЮШНС I12 ООО,82905385462,ООО
79,КОМПЛЕКС ГРУПП Z52 ООО,35172864418,ООО
80,АГРОФИРМА Y59 АО,35411803215,АО
81,СЕРВИС ЦЕНТР U70 ООО,72661658527,ООО
82,УЧЕБНЫЙ ДЕПАРТАМЕНТ U82 ГОС,48555675058,гос
83,СЕЛЬХОЗ КОМПАНИЯ T87 ООО,62599198426,ООО
84,ТРАНС ЦЕНТР C60 ООО,41727931415,ООО
86,КОЛОС АГРОМИРМА J64 ООО,63615154777,ООО
87,ПОРТОВЫЙ КОМПЛЕКС D45 ПАО,90550073341,ПАО
88,СКЛАД ОПЕРАТОР X90 ООО,64083509210,ООО
89,Норелев Илдор Егоевич ИП,47173384422,ИП
90,Каселов Антас Дмиович ИП,26316543095,ИП
91,Ромонина Мармира Ромовна ИП,5442504409052,ИП
92,СЕЛЬХОЗ АЛЬЯНС X82 ООО,64586039238,ООО
94,Лесевин Макгей Павевич ИП,1745314412182,ИП
98,ГРЕЙН ГРУПП Y75 ООО,6172964073780,ООО
99,МЕДИАГРУПП I74 ООО,97456610295,ООО
100,АГРО-ТРЕЙД Y58 АО,95099359546,АО
101,АГРО ЛАБ B69 ООО,80584117866,ООО
102,ПРОФ СНАБ L78 ООО,96574419704,ООО
103,ПЛАЗА РЕЗОРТ W58 ООО,81527331975,ООО
104,ХЛЕБ-СНАБ-ЮГ S99 СХА,27980076729,СХА
105,РЕЗЕРВ АЛЬЯНС A16 АО,74356047687,АО
107,ШТАМП ПАРТНЕР H91 ООО,65817595120,ООО
108,Аксесов Дмитор Влаович ИП,8622890001710,ИП
109,РОСТ-ЭКСПОРТ Y37 ООО,92043836332,ООО
110,АГРОСКЛАД ЦЕНТР U87 ООО,13584339467,ООО
111,Ланянев Контор Егоович ИП ГКФХ,1706482332998,ИП ГКФХ
112,ЗЕРНОСНАБ B38 ООО,44944180259,ООО
113,Юлесева Жаняна Ромична ИП,5953797056968,ИП
114,ГРЕЙНСНАБ АГРОФИРМАJ68 ООО,94852939425,ООО
115,Лирельов Армир Алекевич ИП,7903317797676,ИП
116,Томесов Задор Дмиич ИП,2602783352991,ИП
117,КОМИССИЯ X16 ГОС,14290719553,гос
118,АГРО ЛОГИСТИК H83 ООО,10597485266,ООО
119,АГРОЛОГИСТ-АЛЬЯНС U59 ООО,34640679851,ООО
120,БУМАГА ЦЕНТР S86 ООО,44401009769,ООО
121,АУДИТ СЕРВИС L11 ООО,35614761357,ООО
122,СИСТЕМ-ПРО I10 АО,27755733910,АО
123,ИТ ПЛАТФОРМА P43 ООО,63111922142,ООО
124,IT-ОПЕРАТОР C49 ООО,71925103643,ООО
125,Касянов Затон Павевич ИП,67073555276,ИП
126,Эранин Тилан Конович ИП,7111340191629,ИП
127,Зоранева Юлисия Алекична ИП ГКФХ,3548513136436,ИП ГКФХ
128,Зорянев Ардар Макович ИП,3938642557721,ИП
130,ФИН ФИНАНС P23 АО,63838016299,АО
131,ЧИСТЫЕ УСЛУГИ H29 ИП,4708129733247,ИП
132,АГРОИНВЕСТ Y85 ООО,56546424033,ООО
133,Горелский Конвер Ромович ИП,28483297218,ИП
134,АГРО-АЛЬЯНС U10 ООО,19157980698,ООО
136,Калонин Дмимир Егоович ИП КФХ,9676953688382,ИП КФХ
137,Миририн Тимит Иваич ИП,46637314921,ИП
138,Касевский Дмирил Иваевич ИП ГКФХ,9426481036042,ИП ГКФХ
139,Борисев Видар Алекович НОТАРИУС,19323480100,Нотариус
140,Морийова Марнета Анична ИП,54654864883,ИП
141,АГРОТРЕЙД ГРУПП L62 ООО,51666702122,ООО
142,ЛОГИСТ АЛЬЯНС K60 ООО,18963731097,ООО
143,Ланянин Анмир Викевич ИП,2647209648199,ИП
144,Велунин Влавер Конич ИП,9298833273518,ИП
145,Заласев Нисен Михович ИП,8780316917265,ИП
146,ПОТОК ГРЕЙН X85 ООО,61167099654,ООО
147,Ланарева Софвина Олеовна ИП ГКФХ,6719926929831,ИП ГКФХ
148,ФЕРМА ПОСТАВКА V66 ООО,30775851415,ООО
149,Тароров Вламит Конович ИП,1614887606057,ИП
151,Лесарин Росен Олеович ИП,4149294023101,ИП
152,ЗЕРНО-ЛАЙН D74 ООО,34365519016,ООО
153,Венанов Илней Дмиевич ИП ГКФХ,98861923368,ИП ГКФХ
154,Варасова Людра Викевна ИП,4263510010317,ИП
155,КОНТРОЛЬ ЦЕНТР W30 ГОС,60754689129,гос
156,УРОЖАЙ АГРОФИРМА A85 ООО,71432732375,ООО
157,Тариров Памир Макович ИП,15760445756,ИП
158,Лиранский Витор Егоич ИП КФХ,13770247170,ИП КФХ
159,МИНИСТЕРСТВО V55 ГОС,71536534362,гос
160,СОФТ B36 ПАО,85715645674,ПАО
161,КРЕДИТ ИНВЕСТ N32 ПАО,30549219103,ПАО
162,Ланевова Олилина Михевна ИП,2802758364697,ИП
163,СЕМЕНА ЛОГИСТИК E51 ООО,98800541091,ООО
164,СИТИ УПРАВЛЕНИЕ P12 ООО,67775990026,ООО
165,ЭКСПО СЕРВИС Q63 ООО,75469604539,ООО
168,ЗЕРНО ОПЕРАТОР S59 ООО,66366995063,ООО
169,ВОЛНА МОРСКОЕ АГЕНТСТВО O10 ООО,19150237721,ООО
171,Киресина Ксеета Дмиична ИП,7527137088536,ИП
173,КАР СЕРВИС X33 ООО,25038936075,ООО
174,ФЕРМА ТРЕЙД A60 ООО,25755888653,ООО
175,СОЦ КОМИТЕТ K87 ГОС,29745253112,гос
176,КАНЦЕЛЯР-СНАБ E21 ООО,49245911281,ООО
179,Венонин Гедор Викич ИП,6769899993295,ИП
180,СТРАХОВАНИЕ V71 НАО,39047274755,НАО
181,Боресов Евдор Серич ИП ГКФХ,10479022144,ИП ГКФХ
182,ТРАНС ГРУПП M59 ООО,11459826512,ООО
183,Кирасский Вирис Конович ИП,6208780789610,ИП
184,Велоров Кондор Макич ИП,4645285117038,ИП
185,УРОЖАЙ ПОСТАВКА Z96 АО,29306719257,АО
187,Киранский Влагей Иваович ИП,7061986998312,ИП
188,МАРИН АЛЬЯНС Y82 ООО,11836778673,ООО
189,АГРО ЭКСПОРТ U56 ООО,32707742970,ООО
191,Киранин Гетор Дмиевич ИП,2049588769642,ИП
192,БАЛТ ГРУПП Q57 НАО,80917052252,ООО
193,ПОСТ ОПЕРАТОР Z64 НАО,49471743701,НАО
194,ПРЕМЬЕР ПЛАЗА E57 ООО,39010750951,ООО
195,СОФТ ЛАБ I61 ООО,89291167023,ООО
196,РЕГИОН КОРП W29 ООО,67771716713,ООО
197,Калянин Влавин Дмиович ИП,27394603990,ИП
198,СИТИ АДМИН X91 ООО,57446273892,ООО
199,Саревина Алирия Артовна ИП,90809908890,ИП
200,Норарев Гевер Серич ИП,4376898146131,ИП
201,Мироров Конлан Никевич ИП,5417084457644,ИП
202,ХЛЕБ ПОСТАВКА Q78 КХ КФХ,31635025318,КХ КФХ
206,N97 НАО,86419779860,НАО
207,ДИДЖИТАЛ ПЛАТФОРМА M54 ПАО,74907369060,ПАО
208,Саранин Кондор Артич ИП,33384298210,ИП
209,ПОРТ Q57 НАО,23442226317,НАО
210,УРОЖАЙ ГРУПП D61 СПК,29277275631,СПК
211,ВОСТОК ФРАХТ B61 ООО,83544654352,ООО
212,АРЕНДА ОФИС F48 ООО,15436832174,ООО
213,Невельский Вивар Алекевич ИП ГКФХ,3765000477250,ИП ГКФХ
215,Морисов Евтор Серич ИП,6013978387142,ИП
216,ДОКУМЕНТ Y84 ООО,59505819979,ООО
217,Миресев Евмир Макевич ИП,5179392972661,ИП
218,ТРАКТОР ТРЕЙД E82 ООО,62094366911,ООО
219,РОСТ СНАБ J25 ООО,65195200631,ООО
220,СИТИ СЕРВИС P79 ООО,83552058899,ООО
221,ДЕЛОВОЙ ОПЕРАТОР X24 ООО,91418361704,ООО
222,СЕМЕНА ИМПОРТ F16 ООО,66029257206,ООО
223,Ланакская Тенара Иваевна ИП,91849877401,ИП
224,СИСТЕМ СОФТ F41 ООО,49550914925,ООО
225,ФЕРМА СНАБ M15 ООО,54291155321,ООО
226,МЕДСТРАХОВАНИЕ A42 ООО,41925610143,ООО
228,Зоранский Сервар Никович ИП,20113460702,ИП
229,ГАРАНТ ОПЕРАТОР V56 ООО,78734634769,ООО
230,Залакский Олдор Влаович ИП,79298809309,ИП
231,Зенаров Артас Артович ИП,6057516500312,ИП
232,ПАБЛИК СОЛЮШНС K63 ООО,52649523742,ООО
233,РОСТ ОПЕРАТОР Q33 ООО,65364090519,ООО
234,УРОЖАЙ-ФЕРМЕР K94 ООО,50648950349,ООО
235,Лесасин Анрон Михевич ИП ГКФХ,8583842179205,ИП ГКФХ
236,КОЛОС КОМПЛЕКТ N46 ООО,81086980281,ООО
237,Каланин Серким Аневич ИП,7673049727112,ИП
238,АГРОЛОГИСТ ГРУПП L49 ООО,23396039387,ООО
240,УРОЖАЙ ИМПОРТ S19 ООО,55996711806,ООО
242,Аксанин Алевер Макович ИП,7274974310690,ИП
243,МАТЕРИАЛ СИТИ F48 ООО,60731660054,ООО
244,АКТИВ ГРУПП D28 ПАО,25579513836,ПАО
245,НОРД АГРОПОРТ Q98 ООО,21429310764,ООО
246,МУНИЦИП ОФИС R63 ГОС,55942353280,гос
247,ГОС АГЕНТСТВО R70 ГОС,41945932670,гос
248,ЭКСПЕРТ РЕШЕНИЯ W77 ООО,94292239947,ООО
249,Пенарин Ансей Павевич ИП,5520412068667,ИП
250,ТАМОЖ УПРАВЛЕНИЕ D24 ГОС,14854014824,гос
251,АККРЕДИТ ЦЕНТР L82 ГОС,20131231399,гос
252,ЦЕНТР ОЦЕНКИ J90 ГОС,88705966944,гос
254,Эресов Феким Коневич ИП ГКФХ,6328595203065,ИП ГКФХ
255,ПОЛЕ АЛЬЯНС E69 ООО,21417142366,ООО
256,ХЛЕБ СНАБ G38 ООО,89406229590,ООО
258,БИЗНЕС ЭКСПЕРТ Z92 ООО,19686247493,ООО
259,КОНСАЛТ ПАРТНЕР I12 ООО,23165451282,ООО
260,СТАР ОТЕЛЬ R96 ООО,44837393938,ООО
261,ИНВЕСТ СЕРВИС N18 ООО,17481647177,ООО
265,Норевский Вигей Артович ИП,11209784366,ИП
267,Пенанин Олрил Михович ИП,8865255319445,ИП
269,Оревев Арвин Олеович ИП КФХ,10822119988,ИП КФХ
270,Венянов Консей Артич ИП ГКФХ,6079088991025,ИП ГКФХ
271,АКВА H64 ООО,29479447768,ООО
272,ЭКСПОРТ БРОКЕР L97 ООО,12051376606,ООО
273,ЛОГИСТ ПАРТНЕР U63 ООО,66974073072,ООО
274,Томинев Олгей Артевич ИП,45594030340,ИП
275,ТРАК ТРЕЙД Z99 ООО,97921126856,ООО
276,ИТ ЛАБ A61 ООО,96696446209,ООО
277,Горирин Гевин Макович ИП,7860792810333,ИП
278,БАЛТ ОПЕРАТОР Q59 ООО,50790825147,ООО
279,СИ ГРУПП G39 ООО,32074795118,ООО
280,АГРО АГРО Z91 ООО,78735265336,ООО
281,ЗЕРНО СНАБ U61 ООО,77328507162,ООО
282,ИНСТИТУТ ГРУПП L35 ООО,91798006529,ООО
283,ЭКСПЕРТ РЕШЕНИЯ W63 ООО,85567591048,ООО
284,МАТЕРИАЛ ЦЕНТР E84 ООО,22560766482,ООО
285,ТАКСИ ГРУПП S24 ООО,31759540492,ООО
286,ТЕРРАГРЕЙН B48 ООО,31731221885,ООО
287,Лесисов Парон Артевич ИП,1820995512617,ИП
